year,homeTeam,awayTeam,homeGoals,awayGoals,result,homeWinProb,drawProb,awayWinProb,outcomeProb
2014,Stoke,Sunderland,2,0,H,0.454,0.2958,0.2503,0.454
2014,Crystal Palace,Southampton,0,1,A,0.2503,0.2958,0.454,0.454
2014,Stoke,Hull,1,0,H,0.454,0.2958,0.2503,0.454
2014,Crystal Palace,Aston Villa,1,0,H,0.454,0.2958,0.2503,0.454
2014,Hull,Sunderland,1,0,H,0.4549,0.2877,0.2574,0.4549
2014,Tottenham,Everton,1,0,H,0.463,0.2778,0.2593,0.463
2014,Sunderland,West Brom,2,0,H,0.4638,0.3043,0.2319,0.4638
2014,Sunderland,Stoke,1,0,H,0.4638,0.2865,0.2497,0.4638
2014,Newcastle,Aston Villa,1,0,H,0.4638,0.2865,0.2497,0.4638
2014,Aston Villa,Norwich,4,1,H,0.4638,0.2865,0.2497,0.4638
2014,Stoke,Newcastle,1,0,H,0.4638,0.2865,0.2497,0.4638
2014,Fulham,Arsenal,1,3,A,0.2567,0.2787,0.4645,0.4645
2014,Southampton,Swansea,2,0,H,0.4645,0.2787,0.2567,0.4645
2014,Arsenal,Tottenham,1,0,H,0.4649,0.2639,0.2712,0.4649
2014,Newcastle,Cardiff,3,0,H,0.4742,0.27,0.2558,0.4742
2014,Hull,Fulham,6,0,H,0.4755,0.2867,0.2378,0.4755
2014,Aston Villa,Tottenham,0,2,A,0.2443,0.2791,0.4766,0.4766
2014,Newcastle,West Brom,2,1,H,0.4766,0.2791,0.2443,0.4766
2014,Southampton,Chelsea,0,3,A,0.2443,0.2791,0.4766,0.4766
2014,West Ham,Norwich,2,0,H,0.4766,0.2791,0.2443,0.4766
2014,Tottenham,Man City,1,5,A,0.2611,0.2611,0.4777,0.4777
2014,Southampton,Liverpool,0,3,A,0.2611,0.2611,0.4777,0.4777
2014,West Brom,Sunderland,3,0,H,0.4782,0.2883,0.2334,0.4782
2014,West Ham,Cardiff,2,0,H,0.4865,0.2703,0.2432,0.4865
2014,Hull,Everton,0,2,A,0.2432,0.2703,0.4865,0.4865
2014,Norwich,Crystal Palace,1,0,H,0.4878,0.2869,0.2253,0.4878
2014,Swansea,Man United,1,4,A,0.2326,0.2791,0.4884,0.4884
2014,Aston Villa,Cardiff,2,0,H,0.4884,0.2791,0.2326,0.4884
2014,Newcastle,Arsenal,0,1,A,0.245,0.2649,0.4901,0.4901
2014,Aston Villa,Liverpool,0,1,A,0.2428,0.259,0.4981,0.4981
2014,Newcastle,Man United,0,4,A,0.2332,0.2647,0.5022,0.5022
2014,West Ham,Fulham,3,0,H,0.51,0.2783,0.2117,0.51
2014,Cardiff,Tottenham,0,1,A,0.2171,0.2714,0.5115,0.5115
2014,Sunderland,Tottenham,1,2,A,0.2171,0.2714,0.5115,0.5115
2014,West Ham,Man United,0,2,A,0.2171,0.2714,0.5115,0.5115
2014,West Brom,West Ham,1,0,H,0.5127,0.2611,0.2262,0.5127
2014,Sunderland,Cardiff,4,0,H,0.5127,0.2611,0.2262,0.5127
2014,Swansea,Cardiff,3,0,H,0.5254,0.27,0.2046,0.5254
2014,Chelsea,Arsenal,6,0,H,0.5254,0.27,0.2046,0.5254
2014,Newcastle,Crystal Palace,1,0,H,0.5254,0.27,0.2046,0.5254
2014,Hull,Arsenal,0,3,A,0.2105,0.2632,0.5263,0.5263
2014,Norwich,Arsenal,0,2,A,0.2166,0.2565,0.5269,0.5269
2014,Everton,Southampton,2,1,H,0.532,0.2631,0.2049,0.532
2014,Southampton,West Brom,1,0,H,0.532,0.2631,0.2049,0.532
2014,Sunderland,Everton,0,1,A,0.2049,0.2631,0.532,0.532
2014,Liverpool,Everton,4,0,H,0.5331,0.2501,0.2168,0.5331
2014,Stoke,Crystal Palace,2,1,H,0.5335,0.2712,0.1953,0.5335
2014,West Brom,Man United,0,3,A,0.1953,0.2712,0.5335,0.5335
2014,Swansea,Chelsea,0,1,A,0.1953,0.2712,0.5335,0.5335
2014,Crystal Palace,Tottenham,0,1,A,0.2057,0.2605,0.5338,0.5338
2014,Man City,Arsenal,6,3,H,0.5338,0.2605,0.2057,0.5338
2014,Newcastle,Norwich,2,1,H,0.5398,0.2557,0.2045,0.5398
2014,Fulham,Everton,1,3,A,0.1957,0.2609,0.5435,0.5435
2014,Swansea,Fulham,2,0,H,0.5556,0.2593,0.1852,0.5556
2014,Man City,Liverpool,2,1,H,0.5565,0.2319,0.2117,0.5565
2014,Aston Villa,Man United,0,3,A,0.1858,0.2567,0.5575,0.5575
2014,Newcastle,Stoke,5,1,H,0.5575,0.2567,0.1858,0.5575
2014,Southampton,Newcastle,4,0,H,0.5575,0.2567,0.1858,0.5575
2014,Everton,Man City,2,3,A,0.1958,0.2448,0.5594,0.5594
2014,Swansea,Norwich,3,0,H,0.564,0.2502,0.1858,0.564
2014,West Ham,Man City,1,3,A,0.1777,0.2572,0.565,0.565
2014,Chelsea,Man United,3,1,H,0.565,0.2572,0.1777,0.565
2014,Newcastle,Man City,0,2,A,0.1852,0.243,0.5718,0.5718
2014,Sunderland,Liverpool,1,3,A,0.1771,0.2498,0.5731,0.5731
2014,Swansea,Aston Villa,4,1,H,0.5758,0.261,0.1631,0.5758
2014,Man City,Tottenham,6,0,H,0.5767,0.2451,0.1782,0.5767
2014,Fulham,Tottenham,1,2,A,0.1678,0.2495,0.5827,0.5827
2014,Stoke,Liverpool,3,5,A,0.1701,0.2444,0.5855,0.5855
2014,Sunderland,Arsenal,1,3,A,0.1631,0.2509,0.586,0.586
2014,Everton,Swansea,3,2,H,0.586,0.2509,0.1631,0.586
2014,Man City,Everton,3,1,H,0.5878,0.2337,0.1785,0.5878
2014,Everton,Newcastle,3,2,H,0.5926,0.2444,0.163,0.5926
2014,Sunderland,Man United,1,2,A,0.163,0.2444,0.5926,0.5926
2014,Everton,Stoke,4,0,H,0.6009,0.2434,0.1558,0.6009
2014,Swansea,Man City,2,3,A,0.1694,0.2292,0.6014,0.6014
2014,Southampton,Hull,4,1,H,0.6032,0.2572,0.1396,0.6032
2014,Arsenal,Southampton,2,0,H,0.604,0.233,0.1631,0.604
2014,West Ham,Chelsea,0,3,A,0.1631,0.233,0.604,0.604
2014,West Brom,Man City,2,3,A,0.1631,0.233,0.604,0.604
2014,Aston Villa,Arsenal,1,2,A,0.1631,0.233,0.604,0.604
2014,Tottenham,Swansea,1,0,H,0.6045,0.2448,0.1507,0.6045
2014,Norwich,Chelsea,1,3,A,0.1507,0.2448,0.6045,0.6045
2014,Swansea,Sunderland,4,0,H,0.6045,0.2448,0.1507,0.6045
2014,Southampton,Fulham,2,0,H,0.6045,0.2448,0.1507,0.6045
2014,Cardiff,Arsenal,0,3,A,0.1507,0.2448,0.6045,0.6045
2014,West Ham,Arsenal,1,3,A,0.1507,0.2448,0.6045,0.6045
2014,Southampton,Norwich,4,2,H,0.6045,0.2448,0.1507,0.6045
2014,Hull,Chelsea,0,2,A,0.1495,0.243,0.6075,0.6075
2014,Crystal Palace,Man United,0,2,A,0.1495,0.243,0.6075,0.6075
2014,Man United,Swansea,2,0,H,0.6185,0.2428,0.1387,0.6185
2014,Chelsea,Everton,1,0,H,0.6185,0.2428,0.1387,0.6185
2014,Chelsea,Tottenham,4,0,H,0.6185,0.2428,0.1387,0.6185
2014,Fulham,Man United,1,3,A,0.1495,0.2314,0.6191,0.6191
2014,Norwich,Man United,0,1,A,0.1495,0.2314,0.6191,0.6191
2014,Chelsea,Southampton,3,1,H,0.6191,0.2314,0.1495,0.6191
2014,Tottenham,Sunderland,5,1,H,0.6191,0.2314,0.1495,0.6191
2014,Hull,Man City,0,2,A,0.1506,0.226,0.6234,0.6234
2014,Sunderland,Chelsea,3,4,A,0.1494,0.2242,0.6264,0.6264
2014,West Brom,Crystal Palace,2,0,H,0.6287,0.232,0.1392,0.6287
2014,Hull,Man United,2,3,A,0.1392,0.232,0.6287,0.6287
2014,Tottenham,Fulham,3,1,H,0.6298,0.2249,0.1453,0.6298
2014,Everton,Aston Villa,2,1,H,0.6362,0.2248,0.139,0.6362
2014,Everton,West Ham,1,0,H,0.6376,0.2323,0.1301,0.6376
2014,Tottenham,Aston Villa,3,0,H,0.6522,0.2174,0.1304,0.6522
2014,Tottenham,Stoke,3,0,H,0.6611,0.2199,0.119,0.6611
2014,Liverpool,Tottenham,4,0,H,0.6627,0.2065,0.1308,0.6627
2014,Southampton,Crystal Palace,2,0,H,0.6699,0.2158,0.1143,0.6699
2014,Tottenham,Norwich,2,0,H,0.6727,0.2054,0.1219,0.6727
2014,Fulham,Chelsea,1,3,A,0.1219,0.2054,0.6727,0.6727
2014,Man United,Aston Villa,4,1,H,0.6727,0.2054,0.1219,0.6727
2014,Everton,Hull,2,1,H,0.6742,0.2172,0.1086,0.6742
2014,Liverpool,West Brom,4,1,H,0.6742,0.2044,0.1214,0.6742
2014,Tottenham,Hull,1,0,H,0.6742,0.2044,0.1214,0.6742
2014,Cardiff,Chelsea,1,2,A,0.1214,0.2044,0.6742,0.6742
2014,Crystal Palace,Man City,0,2,A,0.1297,0.1946,0.6757,0.6757
2014,Fulham,Liverpool,2,3,A,0.1214,0.185,0.6936,0.6936
2014,Everton,Norwich,2,0,H,0.6966,0.195,0.1084,0.6966
2014,Arsenal,West Ham,3,1,H,0.6966,0.195,0.1084,0.6966
2014,West Ham,Liverpool,1,2,A,0.1084,0.195,0.6966,0.6966
2014,Liverpool,Stoke,1,0,H,0.7006,0.1962,0.1032,0.7006
2014,Norwich,Liverpool,2,3,A,0.11,0.187,0.703,0.703
2014,Tottenham,Crystal Palace,2,0,H,0.7102,0.1932,0.0966,0.7102
2014,Fulham,Man City,2,4,A,0.1021,0.1847,0.7132,0.7132
2014,Cardiff,Liverpool,3,6,A,0.1021,0.1847,0.7132,0.7132
2014,Man United,Norwich,4,0,H,0.7132,0.1847,0.1021,0.7132
2014,Everton,Fulham,4,1,H,0.7135,0.1941,0.0924,0.7135
2014,Man United,Hull,3,1,H,0.7151,0.1768,0.1081,0.7151
2014,Crystal Palace,Arsenal,0,2,A,0.0886,0.1949,0.7165,0.7165
2014,Everton,Cardiff,2,1,H,0.7165,0.1949,0.0886,0.7165
2014,Arsenal,Stoke,3,1,H,0.7168,0.1857,0.0975,0.7168
2014,Man United,West Ham,3,1,H,0.7168,0.1857,0.0975,0.7168
2014,Chelsea,Swansea,1,0,H,0.7274,0.1759,0.0967,0.7274
2014,Man City,Southampton,4,1,H,0.733,0.1695,0.0975,0.733
2014,Tottenham,Cardiff,1,0,H,0.733,0.1857,0.0812,0.733
2014,Chelsea,Aston Villa,2,1,H,0.7334,0.172,0.0946,0.7334
2014,Man City,Newcastle,4,0,H,0.7338,0.1775,0.0887,0.7338
2014,Man United,Stoke,3,2,H,0.7338,0.1775,0.0887,0.7338
2014,Arsenal,Sunderland,4,1,H,0.7338,0.1775,0.0887,0.7338
2014,Liverpool,Hull,2,0,H,0.7491,0.1623,0.0885,0.7491
2014,Chelsea,Fulham,2,0,H,0.7494,0.1694,0.0812,0.7494
2014,Liverpool,Swansea,4,3,H,0.7494,0.1694,0.0812,0.7494
2014,Arsenal,Norwich,4,1,H,0.7561,0.1626,0.0813,0.7561
